osm_id,name,latitude,longitude,city,state,country,address,description,wikidata,tags
1709379170,Jesus on the Cross,12.9756223,77.7495956,Bengaluru,Karnataka,India,,,,"{'name': 'Jesus on the Cross', 'tourism': 'attraction'}"
1712523310,MM Hills Entrance Arch,12.0635237,77.5580451,,Karnataka,India,,,,"{'name': 'MM Hills Entrance Arch', 'tourism': 'attraction'}"
1712595023,MM Hills Entrance Arch,11.9542601,77.6492777,,Karnataka,India,,,,"{'name': 'MM Hills Entrance Arch', 'tourism': 'attraction'}"
1715754370,Old Heritage Village,13.337986,74.7818837,Udupi,Karnataka,India,,,,"{'name': 'Old Heritage Village', 'opening_hours': 'closed', 'tourism': 'museum'}"
1716257936,Kemann Durga Temple Dwara,13.1847056,74.9361772,,Karnataka,India,,,,"{'historic': 'memorial', 'name': 'Kemann Durga Temple Dwara'}"
1727489612,Mekedatu,12.2584997,77.4475194,,Karnataka,India,,,,"{'alt_name': 'Mekedaatu', 'name': 'Mekedatu', 'name:kn': 'ಮೇಕೆದಾಟು', 'old_name': 'Meke datu', 'tourism': 'attraction'}"
1748270881,Mavalinge Sangama,15.2570289,74.5949461,,Karnataka,India,,,,"{'name': 'Mavalinge Sangama', 'name:kn': 'ಮಾವಳಿಂಗೆ ಸಂಗಮ', 'tourism': 'attraction'}"
1780091264,Rock tablets,12.9621688,77.6362486,Bengaluru,Karnataka,India,,,,"{'historic': 'ruins', 'name': 'Rock tablets'}"
1803548746,Archeological Protected Temple,13.0940329,76.242745,,Karnataka,India,,,,"{'historic': 'archaeological_site', 'name': 'Archeological Protected Temple'}"
1818539390,Barkur Fort,13.4706597,74.7556244,,Karnataka,India,,,,"{'historic': 'archaeological_site', 'name': 'Barkur Fort', 'name:kn': 'ಕೋಟೆ'}"
1877813091,Muthyala Maduvu,12.686232,77.6651109,,Karnataka,India,,,,"{'alt_name': 'Muthyalamaduvu', 'int_name': 'Pearl Valley', 'name': 'Muthyala Maduvu', 'tourism': 'attraction'}"
1888467581,Mohini Betta,14.5886491,74.5664511,,Karnataka,India,,,,"{'name': 'Mohini Betta', 'name:kn': 'ಮೋಹಿನಿ ಶಿಖರ', 'name:mr': 'मोहिनी शिखर', 'natural': 'peak', 'tourism': 'attraction'}"
1888467656,Bhairaveshwara Shikhara,14.5902694,74.5673585,,Karnataka,India,,,,"{'name': 'Bhairaveshwara Shikhara', 'name:kn': 'ಭೈರವೇಶ್ವರ ಶಿಖರ', 'name:mr': 'भैरवेश्वर शिखर', 'natural': 'peak', 'tourism': 'attraction'}"
1902396901,INS Chapal,14.8143987,74.1270093,,Karnataka,India,,,,"{'name': 'INS Chapal', 'name:kn': 'ಐಎಣ್ಎಸ್ ಚಪ್ಪಲ್', 'tourism': 'attraction'}"
1967082849,Manjarabad Fort,12.9175212,75.7590831,,Karnataka,India,,,,"{'alt_name': 'Manjirabad Kote', 'historic': 'archaeological_site', 'name': 'Manjarabad Fort', 'name:kn': 'ಮಂಜರಾಬಾದ್ ಕೋಟೆ', 'tourism': 'attraction'}"
2067977325,Chamarajendra Wodeyar Statue,12.9516703,77.5847849,Bengaluru,Karnataka,India,,,,"{'historic': 'memorial', 'memorial': 'statue', 'name': 'Chamarajendra Wodeyar Statue', 'name:kn': 'ಚಾಮರಾಜೇಂದ್ರ ಒಡೆಯರ್ ಪ್ರತಿಮೆ', 'subject': 'Chamarajendra Wodeyar X', 'subject:wikidata': 'Q3666053'}"
2072718460,Somanatakote Durgamma,15.3464472,76.3572949,,Karnataka,India,,,,"{'historic': 'monument', 'name': 'Somanatakote Durgamma', 'name:kn': 'ಸೋಮನಾಥ ಕೋಟೆ ದುರ್ಗಮ್ಮ'}"
2072949828,Veera kallu,15.3040781,76.3460541,,Karnataka,India,,,,"{'historic': 'stone', 'name': 'Veera kallu', 'name:kn': 'ವೀರಕಲ್ಲು'}"
2072949902,"Kaalikamba Temple, Hospet",15.266848,76.3910756,Hosapete,Karnataka,India,,,,"{'historic': 'archaeological_site', 'name': 'Kaalikamba Temple, Hospet', 'name:kn': 'ಕಾಳಿಕಾಂಬ ದೇವಸ್ಥಾನ'}"
2093038104,Kanaganahalli stupa,16.8354558,76.9342863,,Karnataka,India,,,,"{'historic': 'archaeological_site', 'is_in': 'Chittapur; Kalaburgi; Karnataka', 'name': 'Kanaganahalli stupa', 'name:kn': 'ಕನಗನಹಳ್ಳಿ ಸ್ತೂಪ', 'opening_hours': 'Mo-Su 10:00-17:00'}"
2100234699,Triveni Sangama,12.3844556,75.5331477,,Karnataka,India,,,,"{'name': 'Triveni Sangama', 'name:kn': 'ಸಂಗಮ', 'place': 'locality', 'tourism': 'attraction'}"
2115400220,Chikkabenakallu,15.4172528,76.4575693,,Karnataka,India,,,,"{'historic': 'archaeological_site', 'name': 'Chikkabenakallu', 'name:kn': 'ಚಿಕ್ಕ ಬೆಣಕಲ್ಲು'}"
2115400262,Jambunatha Garbha Gudi,15.2371219,76.4084298,Hosapete,Karnataka,India,,,,"{'amenity': 'place_of_worship', 'historic': 'archaeological_site', 'name': 'Jambunatha Garbha Gudi', 'name:kn': 'ಜಂಬುನಾಥ ಗರ್ಭ ಗುಡಿ', 'tourism': 'attraction'}"
2115400267,Jambunatha Temple,15.2371014,76.4078672,Hosapete,Karnataka,India,,,,"{'historic': 'archaeological_site', 'name': 'Jambunatha Temple', 'name:kn': 'ಜಂಬುನಾಥ ದೇವಸ್ಥಾನ'}"
2115400284,Kinnereshwara,15.3682457,76.5337945,,Karnataka,India,,,,"{'historic': 'archaeological_site', 'name': 'Kinnereshwara', 'name:kn': 'ಕಿನ್ನರೇಶ್ವರ'}"
2115400289,Mula Virupaksha,15.3332377,76.4596615,Hosapete,Karnataka,India,,,,"{'historic': 'archaeological_site', 'name': 'Mula Virupaksha', 'name:kn': 'ಮೂಲ ವಿರುಪಾಕ್ಷ'}"
2115400313,Somanatheshwara,15.342598,76.3614145,,Karnataka,India,,,,"{'designation': 'start point to mountain', 'historic': 'archaeological_site', 'name': 'Somanatheshwara', 'name:kn': 'ಸೋಮನಾಥೇಶ್ವರ'}"
2115400330,Vaanibhadreshwara,15.4057446,76.4872785,,Karnataka,India,,,,"{'historic': 'archaeological_site', 'name': 'Vaanibhadreshwara', 'name:kn': 'ವಾಣಿ ಭದ್ರೇಶ್ವರ'}"
2115400682,Papanashana tirta,15.4063681,76.4881816,,Karnataka,India,,,,"{'historic': 'archaeological_site', 'name': 'Papanashana tirta'}"
2115400687,Vanibadreshwara temple,15.4064169,76.4877668,,Karnataka,India,,,,"{'historic': 'archaeological_site', 'name': 'Vanibadreshwara temple', 'name:kn': 'ವಾಣಿಭದ್ರೇಶ್ವರ ದೇವಸ್ಥಾನ'}"
2115400689,Sudha tirta,15.4067381,76.4878827,,Karnataka,India,,,,"{'historic': 'archaeological_site', 'name': 'Sudha tirta'}"
2115400727,Chikka Benakallu(mountain),15.4170391,76.4570819,,Karnataka,India,,,,"{'historic': 'archaeological_site', 'name': 'Chikka Benakallu(mountain)', 'name:kn': 'ಚಿಕ್ಕ ಬೆಣಕಲ್ಲು'}"
2115400753,Bhimana kindi,15.4179475,76.4622023,,Karnataka,India,,,,"{'historic': 'archaeological_site', 'name': 'Bhimana kindi', 'name:kn': 'ಭೀಮನ ಕಿಂಡಿ'}"
2140335892,Magoda Falls,14.8501077,74.752251,,Karnataka,India,,,,"{'name': 'Magoda Falls', 'name:kn': 'ಮಾಗೋಡು ಜಲಪಾತ', 'tourism': 'attraction', 'waterway': 'waterfall'}"
2154405027,Dasarahatti Ranganatha Temple,14.1143868,75.6066695,,Karnataka,India,,,,"{'historic': 'archaeological_site', 'name': 'Dasarahatti Ranganatha Temple', 'name:kn': 'ದಾಸರಹಟ್ಟಿ ರಂಗನಾಥ'}"
